甲骨文字,龜甲文
生男禮,得男禮
動亂,戰爭
偏執病,偏執症
蛇陵,五陵
悲歎,悲嘆
當直,上直
暗款,暗花
生離別,生別
偵探,探偵
補集合,餘集合
列朝,列聖朝
飛騰,飛揚
費消,消費
執質,執贄
移動大使,巡廻大使
成法,實定法
唐瘡,骨疽
宏猷,宏謀
廉探,詗探
尼寺,尼院
强奪,强取
結合則,結合法則
新元,正日
單節類,單體寸蟲類
乳光,蛋白光
巹禮,婚禮
消亡,消滅
火蔘,王大黃
國庫關稅,財政關稅
起火箭,神機箭
薨逝,薨去
喪人,喪制
楊梅,山桃
海岸線,沿海線
兵曹判書,騎判
忌避,忌諱
牽連犯,牽聯犯
屍身,死屍
江口,渡口
省略,省略
公處奴婢,官奴婢
高空病,高度病
傲然,桀驁
蛔證,蛔症
落成,竣工
變易身,變化身
災殃,災禍
新注,古注
正三角形,等角三角形
翼果,翅果
單線,單線鐵道
右議政,右揆
黃道傾角,黃道傾斜
姦迹,姦跡
雀羽,孔雀羽
破片爆彈,破片彈
舊型,舊形
罌粟,楊貴妃
絲穀,絲身穀腹
指數,冪指數
蓮花寶座,蓮花座
蚱蟬,蟬蟲
淨宮,梵刹
照亮,照諒
深責,切責
後夫,後書房
糧秣,糧草
靈筵,几筵
暖室,暖房
訃音,訃聞
柞木,櫟木
眼華,空華
丘墓,陰宅
沒風流,沒風
同値,等價
洋銀,洋白
單線鐵道,單線軌道
猜忌之心,猜忌心
認許狀,許可狀
半子,女壻
幼生器官,一時的器官
紫玉蓮,紫木蓮
柔然,茹茹
耕耘,耕耨
通路,通行路
才品,才稟
智慧,知慧
穩寢,穩眠
白油麻,白胡麻
秀魚,鳥頭魚
斜日,夕照
宮女,宮嬪
公府,府署
外用藥,內服藥
饘粥,饘酏
古銅色,赤褐
本給,水塘
白日,赤日百千
呈納,呈上
濕症,濕病
痛悼,傷悼
封土,提封
不如歸,杜魂
照律,照律
名流,有名人
輪藏臺,轉輪藏
問標,疑問符號
水邊,涯際
多寡,多少
自若孫,子與孫
斜視眼,斜視
剿除,剿滅
約言,言約
釐正,理正
共同謀議,共謀
絶對權,絶對權利
市肆,市廛
重農派,重農學派
涌起,湧起
漿液膜,漿膜
無垢衣,卓衣
反粒子,飯粒者
曄然,曄煜
景明風,東南風
淸州,淸州市
銃架臺,銃架
團體協約,團體契約
三塗,三道
弓福,張保皐
竈馬,竈鷄
閻浮提,閻浮洲
風景,風光
翣扇,黻翣
百會穴,百會
光合成,光力合成
百日紅,紫薇
下元甲子,下元甲
連結機,連結器
轉摩擦,回轉摩擦
睠顧,愛顧
皁角子,皁莢子
列立軍,閱入軍
潤態,潤澤
潭陽郡,潭陽
缺本,闕本
柔道,柔術
武勇談,武談
鑑賞,賞鑑
仕宦界,仕路
輪症,流行病
遏迦棚,閼伽棚
八世,八代
內從四寸,外從四寸
氣圈,大氣圈
歸厚署,棺槨色
衛矛,魂箭羽
宿命說,宿命論
同氣間,天倫
彌勒,慈子
切手,郵票
九有,天下
容體,容態
東營,東別營
官衙,府寺
虜將,敵將
章擧,小八鮹魚
大業,鴻業
寺黨,社堂
黃龍大旗,畫龍大旗
積德,累德
椎骨,脊椎
資質,恣質
麴子,酒媒
驅血法,止血法
倭靑,鴉靑
宏儒,鴻儒
村落,村里
造化神,造物主
勒奪,强奪
騰貴,昻貴
浪費,虛憊
苦難,難苦
次子,仲男
鴻業,丕業
濡桑,雨桑
妻邊,妻族
湧起,涌起
書屋,學堂
角粲,伊罰干
沈澱巖,水成巖
戈殳,矛戟
四六體,騈儷體
扁豆,鵲豆
輿駕,寶駕
倏忽,儵忽
誇大狂,誇大妄想狂
砒霜石,砒石
船矴魚,渡父魚
跌宕,佚蕩
鶬鷄,舂鋤
郵便筒,郵遞筒
忿氣,憤氣
芙蓉,雷芝
送證,領收證
擊賞,擊節歎賞
不導體,導體
蜈蚣,土蟲
銀潢,天漢
大使,全權大使
水塘,貯水池
令名,令譽
飜譯機械,飜譯機
象鼻魚,細魚
代襲相續,承祖相續
感氣,感祟
保守黨,保守政黨
頹風,頹俗
韓日合邦,韓日倂合
窮髮,不毛地
寺人,宦侍
逆數,反數
三升冪,三乘
非法,不法
初虐,草虐
淡靑,淡靑色
脈搏,息脈
造物主,造化神
安居,夏行
河津,船着場
屠兒,屠殺者
土着語,固有語
原書,原典
內裏,九重宮闕
金瘡,金傷
裁決,決裁
窯業,陶業
勇戰,勇鬪
圓筒圖法,圓柱圖法
斷截線,斷切線
忍冬草,通靈草
呑吐,吐呑
天瓜,烏瓜
暢樂,暢適
衛戍,徭戍
棋風,碁風
半宵,半夜
洞神祭,土神祭
白沙器,白陶
庸夫,凡夫
踰繕那,由旬
派送,發遣
曲茶,曲茶
叫天子,從地鳥
羹墻錄,列朝羹墻錄
出版權,板權
凶器,兇刃
專行,擅行
蒼天,蒼昊
警跡,警迹
聖餐式,聖餐禮
大多數,多大數
奇案,妙思
緊關,緊關事
含沙,水努
星河,天潢
君上,人主
絶對映畫,抽象映畫
自由國家,社會國家
賞祿,襃祿
慧孛,箒星
鍊習帳,練習帳
腐植土,腐土
斷罪,斷獄
城壘,城堡
後五,後五百年
起原,起源
句芒,木正
寶光釉,寶石釉
節日製,節日科增廣
兒名,乳名
魚類,魚綱
祈穀祭,祈穀大祭
老翁鬚,水楊藤
請牒狀,請札
討捕官,討捕使
丘塚,萬年幽宅
津岸,江口
山洞,嵌谷
肺病,肺患
蔓荊子,僧法實
群有,萬物
證據物,證據品
明效,明驗
豕突,猪突
專用權,專用使用權
軍旅,戰火
石灰水,石灰液
惡舌,惡言
家塾本,坊刻版
骨壞疽,唐瘡
充腹痛,蛔腹痛
少毛類,貧毛類
減稅,增稅
同好者,同好人
玄水,穀茶
戮殺,殺戮
單聲,同聲
胸宇,胸曲
艾俑,艾人
實職,雜織
白鸛,負金
蜀鳥,杜宇
鎔點,融解溫度
姊壻,姊兄
最後,最初
四則計算,四則算法
渾濁,混濁
仙鼠,伏翼
雜華經,華嚴經
混合肥料,配合肥料
溝澮,溝洫
朗唱,朗誦
計算法,算法
樹狀突起,神經突起
津渡,渡口
自己分解,自家分解
沙鑛床,沙鑛
鰭脚類,海生食肉類
外部營力,外的營力
捕虜,俘囚
全跏,結跏趺坐
舍利塔,舍利堂
捕討,捕殺
心包炎,圍心囊
補充權,代用權
疫神,天然痘
沈澱,沈滓
騎兵,馬兵
磨羯宮,磨蝎宮
年甲,年甲者
狂病,狂疾
年始,年初
專門語,專門用語
輕水爐,輕水型原子爐
金官國,伽倻
山峯,山嶺
素行,品行
蜀鳥,蜀魂
自動旋盤,自動盤
刊本,版本
極北地方,北極地方
周遊天下,周遊四方
三邊形,三角形
高柱礎石,長礎石
封內,封彌
宸闕,九禁
交爵,交觴
行伍,伍列
山鴞,鴟鴞
碁局,棋局
蛣蟨,孑孒
將臨節,待臨節
光鹵石,沙金鹵石
實心,眞心
豫納,前納
佳日,嘉辰
醉裏,醉裡
胡壽,長壽
螳蜋科,蟷螂科
會案,會議錄
舌尖,舌端
不能,可能
連接桿,連杆
褊裨,褊將
半月不等,半月位相不等
瞳子,瞳孔
第二分裂,同型分裂
熊魚,蛇鱓
蒼昊,蒼空
浮屠,佛僧
老人,耆艾
規免,謀免
嘆美,歎美
再製鹽,再鹽
流離丐乞,乞食
降着,着陸
經常豫算,通常豫算
選拔試驗,選試
捕盜軍士,捕卒
自由職業,自由業
索條,索條
曄然,曄曄
幾何平均,相乘平均
甲冑,鎧胄
房室瓣,帆狀瓣
裨將,幕客
實數,實收入
幽冥,泉壤
爐殿,知殿
移去,移住
陶石,陶土
幕裨,幕中
桂魄,桂月
鐵道廳,韓國鐵道公社
泛論,氾論
堆積巖,成層巖
下吏,小吏
胎糞,胎屎
淺黑色,淡黑色
盜兒,偸兒
便箋紙,片紙紙
遍額,扁題
土侯國,王侯領
曠劫,永劫
捧上,捧納
迷路炎,內耳炎
豆芽,菽芽菜
河西州誓,五州誓
佯言,妄語
胸次,胸襟
太陽黑點,黑點
洪業,鴻業
鎔融爐,融解爐
定租,支定
失眞,失性
野天麻,益母草
短絡反應,短絡行動
堡壘,堡障
角粲,干伐飡
勿入,退凡
貸與,貸給
承襲,襲爵
嫡子,樹子
將指,長指
等比級數,幾何級數
望柱石表,望柱石
窮達,窮通
妾出,庶出
砂坑,沙坑
公札,公函
超人的,超人間的
圊廁,灰治粧
膏澤,膏血
息耗,殃慶禍福
槐安夢,白日夢
麴蘖,銀麴
路傍,路邊
書冊,載籍
縮首,縮頭
蘭契,金蘭契
狗耳草,牽牛花
晩年,老齡
宇宙,斗宇
同時設立,單純設立
宿志,夙志
家君,爺爺
高趣,高致
胎葉,發條
元嬪,元妃
自己流,自家流
陽宅,陽基
陰畫,原板
安堵,安心
浸液蟲類,滴蟲類
至緊至要,一緊
通靈草,密補藤
麻實油,麻油
炎凉,冷煖
姊婿,妹兄
凝縮機,凝結器
再服務,再服役
卓爾,卓然
苔蘚,莓苔
拜覆,敬覆者
演藝人,藝人
蜀魂鳥,鼎小鳥
紙砲,紙銃
安息香酸,安息酸
天上界,上界
劍鼻,劍環
夢色,夢精
刹那,瞬間
積雪量,降雪量
金簪,金釵
人造肥料,化學肥料
僧坊,伽藍
細胞膜,原形質膜
聯立政府,聯政
諜報,諜呈
土炭層,泥炭層
渡口,船埠
稚兒,稚子
大口目,呑魚目
個體,個物
綿絲,木綿絲
雞子白,雞子淸
沙時計,砂漏
孕身,有娠
草萊,陳荒處
勝景地,景勝
注疎,註疎
偏極,分極
田莊,田庄
嬭巖,乳巖
水晶幻視,水晶凝視
回旋舞,回舞
簡明,簡單明瞭
壻郞,東廂
渡頭,津河
驅蟲劑,殺蟲劑
釋奠祭,釋奠大祭
上宗,祖上
彌勒佛,彌勒菩薩
駑駘,駑馬
便紙,書字
沙漏計,沙漏
泉臺,陰府
金釵股,忍冬
宮殿,宮牆
嬰孩,童穉
菜油,菜種油
等標,等號
肺疳,氣疳
星石,隕石
寄稿家,寄書家
熱連結,竝列連結
純良,醇良
娼館,靑樓
武功,軍功
叛逆者,反逆者
三歸,三歸依
破裂,潰裂
腰輿,靈與
蜘網,蛛絲
聯絡,連絡
庖漢,屠者
奪還,奪回
內閣會議,閣議
肥土,沃土
名流,名家
長椽,下椽
節足動物,節肢動物
上府,上司
酒家,酒屋
郁李,鬱李
鼓詞,鼓子詞
古山子,金正浩
簫韶,韶箾
螺旋狀,螺狀
聖堂,芹宮
消滅,生成
拍子標,拍子記號
都會地,大處
無職者,無職業者
魚鱖,錦鱗魚
探照燈,射光機
絹織,絹織物
貢納,納貢
阿閦如來,阿閦佛
卒中風,卒中
彈劾權,彈劾訴追權
禮拜音樂,典禮音樂
屠人,屠者
倍體,倍數體
巡營,監營
戀人,佳人
卽知,機知
回回敎徒,回敎徒
强劫,强取
財産,財賄
阿諂,微諂
兇婦,凶婦
瀝靑巖,瀝靑石
純正律,純正調
禁裏,紫闥
漏局,報漏閣
向前,往者
黎元,黎首
刻期,刻限
解熱劑,消熱劑
祿料,祿俸
胸音,訃報
呪物崇拜,庶物崇拜
冥境,冥府
降生,降誕
見謁,謁見
軟鐵心,軟鐵棒
恣女,粉紅女
怪鬼,妖怪
蒜腦藷,百合
瘠薄地,沙石之地
錢法,貨幣制度
偶吟,偶詠
男俳優,女俳優
捕虜,被虜人
承諾,肯定
八不出,八不取
壽堂,壽穴
右相,牛台
胸襟,心襟
簾車,蓮荷
和音標,和音記號
進步,前進
凌郞,陵郞
朝家,朝廷
山臺雜戱,山臺舞劇
借邊,借方
隨筆,散錄
栝蔞,天瓜
內艱喪,內艱
悶悶,憫憫
綢部,廚人
問責,叱責
抱槍,水努
稀貴種,稀種
氷晶,氷霧
光度等級,光度階級
軟派,硬派
倒産,破産
戚聯,戚屬
蜀魂,蜀魄
韓構字,壬寅字
棄絶,破門
㿗疝,㿉疝
文藝科學,文藝學
孩提,幼兒
善行,嘉行
淨刹,紺園
閻魔大王,閻羅王
右補闕,右獻納
妖怪,怪鬼
泛酒,泛齊
輕爆擊機,輕爆
交互槪念,交叉槪念
海苔,甘苔
佳客,佳賓
防火栓,消火栓
他力宗,他力門
水努,抱槍
周易先生,卜人
胡壽,壽齡
騈儷文,騈儷體
轉輪聖帝,轉輪王
知遇,眷遇
婚禮,洞房華燭
身世,身勢
馬鈴薯,蕃薯
六呂,六陽聲
多肉果,漿果
猴薑,忍草
西都,西京
結婚式,婚禮
粘椒,黏椒
首席,末席
遷化,歸元
賢相,賢宰相
單翼工,初翼工
小波拉葉,槲木
自決,自害
氏穀,種穀
師匠,師範
凸彫,浮刻
不運,幸運
晩禾,晩稻
懊惱,懊憹
使行,使臣行次
絶孫,無後
孫卿,荀子
同坐,同座
洗面道具,洗面具
五服親,有服之親
船埠,津河
公署,廳事
混合經濟,二重經濟
僧伽藍摩,寺門
痛歎,悲歎
爐邊談,爐邊談話
增多,加增
闕廷,九重宮闕
惠顧,惠枉
鎔鑛爐,鎔爐
陳篇,陳編
借金,借錢
鮮紅,祭紅
夕暉,斜日
飴餹,飴餳
致斃,致死
比隣,近隣
尊函,尊翰
陸本,陸軍本部
公算,確率
氈笠,紅氈笠
意志,意欲
右揆,端揆
上枋,上引枋
痛憤,痛忿
刎死,剄死
菩薩,當來導師
利子附,利付
廩況,官況
僻地,僻處
京邑,京輦
姦智,奸智
通信隊,電信隊
紫貂,貂熊
佳氣,瑞氣
未開,文明
獵手,獵夫
穀旦,穀日
異常性慾,性倒錯
別室,小妻
不可無,不可缺
記名調印,署名捺印
杜宇,蜀鳥
賻儀,奠儀
塵境,俗世
老翁鬚,鷺鷥藤
輪姦,混姦
山獺皮,黑貂皮
佛曲,佛敎音樂
簡易驛,簡易停車場
王侯領,土侯國
競落決定,競落許可決定
邊疆,邊境
聖顔,天顔
臨時方便,臨時變通
四七論,四七辯
群衆心理,大衆心理
粘液,黏液
罌粟花,麗春花
山斗,泰山北斗
蒸溜,乾溜
一絃琴,板琴
膝骨,膝蓋骨
水菖蒲,蘭草
饑民,飢民
告身,職牒
子宮,胞宮
娶禮,婚禮
在文,在錢
糜爛,靡爛
帽子標,李花
龍駕,寶駕
刑場,死刑場
子正,零時
潮水,汐水
猛勇,勇猛
月食,月蝕
天安,天安市
勞苦,功苦
卷層雲,高層雲
津驛,江口
脊椎骨,脊膂
都監寺,庫司
忍冬草,金銀木
慾念,欲念
屠畜場,屠殺場
沙洲,砂洲
大度,大優
三四半期,三四分期
披針形,披針模樣
平方形,正方形
停住,停駐
法庭,法廷
酸性病,酸毒症
孫子,孫兒
彫牆,花紋牆
嗅腦,臭腦
草萊,薄土
人格分裂,人格變換
舒川,舒川郡
正配,嫡妻
擯斥,擯却
答狀,答簡
妥帖,妥貼
藍本,原本
稅律,稅法
他座,他席
相遇禮,相互禮
疾風,扶風
喉頭蓋,會厭
佳味,嘉味
帝闕,宮禁
萬國地圖,世界地圖
外憂,外艱喪
極放射,極帽
高等法院,高法
讀經臺,聖經臺
神祕說,神祕論
第一胃,瘤胃
冬夏,冬安居
御宮,九重宮闕
相宗,法相宗
精舍,佛寺
迂怪,邪風
凍梨,卒壽
陰莖,腎莖
弩幢,小司兵
紫藤香,降眞
閑良飮食,午後閑良
懶惰,懶怠
表章,表彰
飯鮹,望潮魚
至于今日,尙今
戰線,陣中
羈愁,旅愁
默念祝文,奉獻祈禱
還元焰,焰心
重曹,重炭酸曹達
哀念,哀思
血風草,地錦
板刻本,木版
梵衲,和合僧
表彰,表揚
早智,早知
阜螽,蚱蜢
科試,科擧
介冑之士,鎧冑之士
周年法,個月法
碧苔,綠苔
滑痢,虛痢
毒蛾,毒手
誅戮,誅戮
異跡,奇跡
硬性憲法,硬質憲法
每箇,每個
鬼油麻,莢蒿
毒汁,毒牙
幽都,玄宅
衆人廣座,稠座
添加語,粘着語
可鎔金,可融金
白丁,屠家
休憩,休息
唾液,口液
藥師如來,藥師瑠璃光如來
半減期,半衰期
村民,村氓
內子,家人
生活給,生活賃金
末子,末男
法則科學,法則學
令媛,令娘
高驪石,高麗石
知殿,持殿
鼻煙,鼻烟
頭目,頭領
象路,象輅
軺軒,命車
私大,私立大學
鷲瓦,鴟尾
丘塚,丘冢
規準振動,固有振動
勝義諦,眞諦
隱蔽,隱匿
尊椷,尊函
雷神,雷公
輿駕,金與
不隨筋,不隨意筋
老翁鬚,忍冬草
山臺雜劇,山臺戱
混濁,溷濁
大盃,大白
動物澱粉,戇原質
秋光魚,細魚
法棟,寺院
空念佛,徒口念佛
領收,領受
蒲公英,金簪草
五蘊,五陰
萵苣,苣萵
海鰩魚,鰩魚
宮家,帝闕
偏枯,手足癱瘓
堤川市,堤川
家人,內室
精舍,梵刹
鰌魚,委蛇
西都,箕城
性分,性質
代物辨償,代物辨濟
豐上銳下,豊上銳下
蒸散作用,烝散
毛穴,毛竅
兄弟間,兄弟之間
蕪荑仁,山楡仁
景致,風趣
往者,頃者
酸毒症,産血症
剽悍,慓悍
梵刹,僧坊
原稿,草藁
帽靴帶,紗帽
廉察,探偵
方伯,觀察使
浪費,徒消
立國,建國
承政院,喉院
丹陛,九重深處
奈末,柰麻
伴人,隨行員
共同販賣,共販
歌謠曲,流行歌
官衙,官署
走性,趨向性
僧伽藍,淨宮
壽石,水石
名勝,勝景地
官公署,官公廳
市舶,商船
器局,才能
昔年,客年
驚瀾,驚濤
針魚,秋刀魚
賜與,賜給
皮膚腺,皮腺
蜚蝱,蝱蟲
文臣重試,文科重試
古注,新注
淨刹,寺院
吸着媒,吸着體
石間硃,紫石膏
雕刻,彫刻
利文,利子
姓名,氏名
誓命,盟誓
類人猿,眞猿
四學合製,合製
踰月,逾月
水察,畿察
坤宮,天闕
人爲法,人定法
應接,接應
將棊,將棋
振男,垂髫
透過度,透過能
孕胎,孕重
紫霞門,彰義門
泥土,塗土
窈冥,窅冥
閻浮提,南閻浮提
草綿,木花
痛覺器,痛點
案內役,案內人
抄錄,抄寫
九旻,九重天
有限花序,遠心花序
愆過,過怠
階段室,階段筒
緘口,鉗口
河畔,江邊
去番,頃日
可想界,叡智界
疏村,疎村
稟令,稟命
靑帮,紅帮
末葉,後孫
定總,定期總會
便紙,尺牘
菩薩,慈氏
內則,內規
子宮鏡,膣鏡
懷妊,懷孕
蝨甫,蛀髮蟲
遲暮,暮年
太陽曆,新曆
糠鰕,糠蝦
奇計,奇劃
內焰,外焰
瓦龍子,瓦壟子
萬年幽宅,丘墳
色彩調節,色彩管理
廊底,行廊
卦辭,繫辭
淨刹,佛寺
待客,客待
牧童,牧豎
地衣,地衣草
內胚乳,外胚乳
灌頂,祕密灌頂
酒獵,獵酒
宮外,闕外
藥王菩薩,藥王
明日,來日
閻魔,閻羅
保留,留保
臍瘡,臍腫
去冷,去冷
禮金,謝禮金
萬或,萬一
正品,模造品
船舶級數,船級
金與,乘輿
開架制,開架式
承重喪,承重
邪風,薄行
攝大乘論,攝論
細骨窓,欞星
幽界,黃壤
改命,改令
營所,軍營
蓬莪荗,廣荗
洋灰,人造石粉
呼格助詞,獨立格助詞
減法混色,減色混合
鳴鳩,靑鵻
親舊,友人
正初,年頭
切責,深責
得計,得策
國子監,國子
不毛地,陳荒地
隊副,攝隊副
道門,佛道
緊切,緊着
第三接觸,生光
奈落迦,地獄
殿主,殿司
閉塞器,閉塞裝置
尺翰,片楮
佚蕩,跌宕
同質異像,同質多形
尾椎骨,尾椎
微量要素,微量元素
狗耳草,牽牛
底氷堆石,底堆石
千里饌,內醫
鋟梓,鋟材
名數詞,量數詞
中産層,中産階層
等質,均質
二黃調,湖廣調
自截,自切
墨筆,筆墨
羊負來,葈耳
離恨,別恨
報知艦,通報艦
民族國家,國民國家
諂諛,媚悅
太原,陽曲
還魂記,牡丹亭還魂記
外惑星,外行星
播蕩,播遷
山遊,山棚戱
布置,排置
脈石,脈石鑛物
鵰鷄,下窟鳥
繼樑,續樑
獨擔當,獨當
碧瓦,靑瓦
納日,落日
景福,景祚
稱石,硅巖
饑色,飢色
今玆,來玆
貨物車,貨車
默祈禱,默禱
詠嘆,感歎
駑鈍,魯鈍
犧罇,犧樽
地丁,金簪草
富平,富平區
緩舒,安閑
擠害,擠陷
螺旋器,蝸牛角
立廛,縇廛
盜情,盜心
平日,鎭日
承認,肯定
緣累,連坐
令壻,壻郞
石距,小八鮹魚
多聲樂,複旋律音樂
按排,按配
少妹,小妹
前緣,前分
箭魚,俊魚
倘怳,沈着
愛惜,愛之惜之
遊泳脚,游泳肢
四衆,四部
美合衆國,美國
祝慶,慶祝
挫骨,骨折
憲則,法則
輕妄,輕薄
間道,間路
鼠盜,蟻寇
鰍魚,鰼魚
算筒,數筒
孤雌寡鵠,曠夫
客格,目的格
酒粕,酒精粕
臺省,臺諫
白驥,赤輝公
丹鳳,宮殿
飮食,食物
渾家,渾券
道路樹,街路樹
襚衣,歲製之具
勿吉,靺鞨
性向,性味
黙想,黙思
甘沙菓,柹沙菓
準平原,波狀平原
勞賃勞動,賃銀勞動
鼬鼠,鼠狼
九重,宮廷
吉祥,吉瑞
方將,方今
椿壽,遐年
列記,列錄
四大臣,老論四大臣
無緣墳墓,無緣墓
敎區神父,敎區司祭
上木,上梓
口跡,言套
般若,如實智
相者,觀相家
大葉柞,小波拉葉
鑛坑,鑛店
天地,天下
枉臨,枉駕
類脂質,類脂肪
石綿服,耐火服
疸症,黃疸
浹旬,挾旬
封疆,封土
他鄕,他官
重要,一緊
塼墓,塼室墓
宿泊料,宿料
韓族,倍達民族
僧舍,淨宮
陰電氣,負電氣
宮宇,九重
屍水,筋漿
彩度,純度
瘠地,陳荒地
靑冥,靑天
向主德,信望愛三德
饑饉,饑餓
洞中,洞內
龍子,石龍子
凶報,訃音
式樣,形式
結句,結句
客年,先年
載處,財處
農業資本,營農資金
表現型,遺傳子型
作配,作侶
不滿,不滿足
通則,通規
下膊,上膊
緖端,端緖
次兒,次男
侵奪,侵漁
綠色藻,綠藻植物
黑夜神,黑闇女
依賴,賴庇
稱屈,稱寃
鎔點,鎔融點
渡津,船着場
掖庭,闕內
麥粒腫,偸鍼
砂利,礫石
坊村,里巷
癩疙痲,風鷄
顚末書,始末書
下元甲,下元甲子
通鐵,鐵通
連接桿,連接杆
救民,齊民
禪客,禪家
桂皮茶,桂皮茶
玉饌,嘉饌
地朕,龍鱗薜荔
七重寶樹,寶樹
長點,缺點
龍大旗,黃龍大旗
鄙言,鄙語
仁愛,仁親
黃䱂魚,船矴魚
暴富,猝富
星火,流星
平衡囊,耳胞
委曲,委詳
苦蔘,陵郞
雁王,佛陀
飮食物,饌膳
軒軺,軺軒
伏中,三伏
天然,人造
坎井之蛙,井底蛙
俗界,俗境
西漢,前漢
綿馬,草鴟頭
落帙,缺本
羅城,外城
兇犯,凶犯
核武器,核兵器
一見,日暮
鰌魚,鰼魚
奠儀,菲儀
鷄尿藤,女靑
明驗,明效
租賦,租稅
缺本,落帙
古蹟,古迹
母財,元金
前者,去番
高柱礎石,高礎石
佳約,婚約
出藍之才,出藍
後背地,背域
防砂林,防沙林
淨宮,梵宇
游泳足,遊泳足
延禧宮,衍喜宮
開作,開墾
幻燈器,幻燈
雌雄選擇,雌雄淘汰
光軸計,光軸角器
鞦韆,半仙戱
木竿,樟木
科落,科目落第
楸哥嶺,竹駕嶺
末子魚,鰯魚
供辭,招辭
飢餓,飽食
船埠,津口
葬禮車,靈柩車
黃壚,黃泉
造寺堅固,塔寺堅固
親査頓,親査
水耕法,水中培養
長壽,永壽
最上類,最高類
南極海,南氷洋
牽聯犯,牽連犯
萊蕪,薄土
磁力選鑛,磁力選別
苦灰石,白雲石
冥土,冥途
祕方,祕法
兩院,二元
選別,選分
灰花蛾,絡緯
病看,病看護
彈性限度,彈性限界
精蟲藥,殺精劑
花菜列島,弧狀列島
暗示,明示
知事不知,知而不知
邊照金剛,大日如來
低賃,低賃金
間選,間接選擧
敎會堂,禮拜堂
箕營,浿營
胎位,台座
溶劑,溶媒
駝背,戚施
學齡期,學齡
證左,證據
衙奴,衙婢
複合音,結合音
胴部,胴體
碾磑,石磨
本生父母,本生親
眼睛,水輪
融解,熔融
雍雍,雝雝
昔者,舊時
救兵,救援兵
窮髮,磽瘠
角干,一伐干
斜道,斜徑
醇朴,淳樸
巖鹽,石鹽
砂蒸,沙蒸
畫帖,畫集
法服,法衣
進步,退步
頭風,白屑風
生石灰,剛灰
弄璋,弄瓦之喜
日刊紙,日報
字牧之官,字牧之任
勤策女,沙彌尼
藷芋,甘藷
化遷,變遷
求償貿易,交換貿易
聯絡所,連絡所
缺席,欠席
曲蟺,蜿蟺
古朴,古樸
當季,當期
登位,登極
武猛,勇猛
名案,妙思
倡率,倡師
縛打,縛之打之
支過,涯過
名人,名流
藥治療,藥治
此世,今生
赤鯉,鯉魚
唐菊花,秋錦
私立大學,私立大
軍用票,軍用手票
謀避,圖免
投影畫,投影圖
射影,短狐
在俗會,在俗修道會
槪略,大約
斗室,斗屋
積分常數,積分正數
摩尼寶珠,摩尼
連牆,連墻
僧徒,緇門
要處,要部
獵手,獵人
占術家,賣卜者
綿紬,明紬
退陣,退軍
傘狀,繖狀
口毫,口筆
彌勒座主,慈氏菩薩
協律會社,協律社
水氣,水分
抒情詩,敍情詩
農器,農器具
上乘,大乘
酒店,酒廳
因數分解,因子分解
猫睛草,綠葉綠花草
無記名,無記名式
茶啖床,茶啖床
胡荽,香荽
白鷺,蒼鷺
附箋,附箋紙
金剛錠,金剛沙
反應式,化學反應式
剛性憲法,硬性憲法
無齒類,貧齒目
中國,脂那
幼少,幼沖
不全,不完全
公堂,府署
會厭軟骨,喉頭蓋軟骨
記憶型,表象型
屠肆,懸房
傭人,傭客
